file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
full-featured.yml,2234,0.0033,True,True,True,118,109,False,28,0.237288,28,0.237288,not requested,
minimal-multi-service.yml,299,0.0022,True,True,True,19,17,False,4,0.210526,4,0.210526,not requested,
anchors-and-aliases.yml,226,0.0019,True,True,True,12,11,False,4,0.333333,4,0.333333,not requested,
build-only-no-image.yml,30,0.0018,True,True,True,3,3,True,0,0.0,0,0.0,not requested,
deploy-placement-and-profiles.yml,216,0.0018,True,True,True,10,10,False,2,0.2,2,0.2,not requested,
extends-keyword.yml,152,0.0018,True,True,True,10,9,False,1,0.1,1,0.1,not requested,
external-resources.yml,359,0.0019,True,True,True,24,23,False,1,0.041667,1,0.041667,not requested,
include-directive.yml,107,0.0017,True,True,True,7,6,False,1,0.142857,1,0.142857,not requested,
null-and-empty-values.yml,174,0.0018,True,True,True,12,11,False,4,0.333333,4,0.333333,not requested,
quoted-scalar-types.yml,276,0.0018,True,True,True,13,12,False,7,0.538462,7,0.538462,not requested,
similar-looking-env-keys.yml,122,0.0022,True,True,True,7,7,False,3,0.428571,3,0.428571,not requested,
unicode-and-special-chars.yml,189,0.0025,True,True,True,7,7,False,2,0.285714,2,0.285714,not requested,
build.yml,140,0.0028,True,True,True,8,8,False,1,0.125,1,0.125,not requested,
configs.yml,165,0.0033,True,True,True,10,9,False,1,0.1,1,0.1,not requested,
depends-on.yml,208,0.0033,True,True,True,12,12,True,0,0.0,0,0.0,not requested,
deploy.yml,322,0.0032,True,True,True,16,16,False,2,0.125,2,0.125,not requested,
devices.yml,123,0.0028,True,True,True,6,6,False,2,0.333333,2,0.333333,not requested,
environment-long.yml,126,0.003,True,True,True,7,7,False,2,0.285714,2,0.285714,not requested,
environment-short.yml,125,0.0031,True,True,True,7,7,True,0,0.0,0,0.0,not requested,
extension-fields.yml,138,0.003,True,True,True,8,7,False,1,0.125,1,0.125,not requested,
healthcheck.yml,204,0.003,True,True,True,9,9,False,1,0.111111,1,0.111111,not requested,
image.yml,46,0.0026,True,True,True,3,3,True,0,0.0,0,0.0,not requested,
labels.yml,235,0.0032,True,True,True,11,11,False,2,0.181818,2,0.181818,not requested,
logging.yml,140,0.0029,True,True,True,8,8,False,2,0.25,2,0.25,not requested,
nested-generic-properties.yml,207,0.0029,True,True,True,12,12,True,0,0.0,0,0.0,not requested,
networks.yml,265,0.0026,True,True,True,17,16,False,2,0.117647,2,0.117647,not requested,
ports-long.yml,138,0.0028,True,True,True,8,8,False,1,0.125,1,0.125,not requested,
ports-short.yml,118,0.0029,True,True,True,7,7,False,3,0.428571,3,0.428571,not requested,
profiles.yml,124,0.0029,True,True,True,8,8,True,0,0.0,0,0.0,not requested,
secrets.yml,136,0.0029,True,True,True,9,8,False,1,0.111111,1,0.111111,not requested,
services-minimal.yml,40,0.0026,True,True,True,3,3,True,0,0.0,0,0.0,not requested,
sysctls.yml,200,0.003,True,True,True,10,10,False,1,0.1,1,0.1,not requested,
ulimits.yml,128,0.0029,True,True,True,8,8,True,0,0.0,0,0.0,not requested,
unknown-properties.yml,201,0.003,True,True,True,9,8,False,1,0.111111,1,0.111111,not requested,
volumes-long.yml,198,0.0031,True,True,True,12,11,False,2,0.166667,2,0.166667,not requested,
volumes-short.yml,150,0.003,True,True,True,9,8,False,2,0.222222,2,0.222222,not requested,
preservation-edge-cases.yml,452,0.0036,True,True,True,31,26,False,9,0.290323,9,0.290323,not requested,
preservation-standard-markers.yml,527,0.0035,True,True,True,32,28,False,6,0.1875,6,0.1875,not requested,
